config_id,base_config_id,resample_tag,norm_id,feature_set,model_id,refine_id,split,n_features,macro_f1_mean,accuracy_mean,balanced_accuracy_mean,precision_nopain_mean,recall_nopain_mean
linear1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l10,linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022,subject_robust,bvp_eda_core,xgb,anchor_z_l10,validation,99,0.8177083333333333,0.8379629629629629,0.8177083333333333,0.7569444444444444,0.7569444444444444
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base|anchor_center_l05,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,anchor_center_l05,validation,70,0.8177083333333333,0.8379629629629629,0.8177083333333333,0.7569444444444444,0.7569444444444444
poly1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l10,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,anchor_z_l10,validation,99,0.8125,0.8333333333333334,0.8125,0.75,0.75
linear1022|subject_z|bvp_eda_resp_small|xgb|base|anchor_center_l05,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,anchor_center_l05,validation,70,0.8125,0.8333333333333334,0.8125,0.75,0.75
linear1022|subject_z|bvp_eda_resp_small|xgb|base|anchor_z_l05,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,anchor_z_l05,validation,70,0.8125,0.8333333333333334,0.8125,0.75,0.75
linear1022|subject_z|bvp_eda_resp_small|xgb|base|anchor_z_l10,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,anchor_z_l10,validation,70,0.8125,0.8333333333333334,0.8125,0.75,0.75
truncate1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l10,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,anchor_center_l10,validation,98,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
truncate1022|subject_z|bvp_eda_core|xgb|base|anchor_center_l05,truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022,subject_z,bvp_eda_core,xgb,anchor_center_l05,validation,98,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
linear1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l10,linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022,subject_robust,bvp_eda_core,xgb,anchor_center_l10,validation,99,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base|anchor_z_l10,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,anchor_z_l10,validation,70,0.8072916666666667,0.8287037037037037,0.8072916666666667,0.7430555555555556,0.7430555555555556
poly1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l10,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,anchor_center_l10,validation,99,0.8020833333333334,0.8240740740740741,0.8020833333333334,0.7361111111111112,0.7361111111111112
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base|anchor_center_l10,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,anchor_center_l10,validation,70,0.7864583333333333,0.8101851851851852,0.7864583333333333,0.7152777777777778,0.7152777777777778
truncate1022|subject_z|bvp_eda_core|xgb|base|anchor_center_l10,truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022,subject_z,bvp_eda_core,xgb,anchor_center_l10,validation,98,0.78125,0.8055555555555556,0.78125,0.7083333333333334,0.7083333333333334
linear1022|subject_z|bvp_eda_resp_small|xgb|base|anchor_center_l10,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,anchor_center_l10,validation,70,0.7708333333333333,0.7962962962962963,0.7708333333333333,0.6944444444444444,0.6944444444444444
