config_id,resample_tag,stage1_id,stage2_id,decoder_id,split,macro_f1_mean,macro_f1_std,accuracy_mean,balanced_accuracy_mean,n_subjects
truncate1022|xgb_subject_z|resp_all_robust|split_topk,truncate1022,xgb_subject_z,resp_all_robust,split_topk,train_loso,0.5555555555555555,0.11620278146306605,0.5555555555555555,0.5555555555555555,41
poly1022|logreg_subject_z|resp_all_robust|split_topk,poly1022,logreg_subject_z,resp_all_robust,split_topk,train_loso,0.5548780487804879,0.12083936844412131,0.5548780487804879,0.5548780487804879,41
truncate1022|xgb_subject_z|resp_all_std|split_topk,truncate1022,xgb_subject_z,resp_all_std,split_topk,train_loso,0.55420054200542,0.11751530296858216,0.55420054200542,0.55420054200542,41
linear1022|logreg_subject_z|anchor_z_robust|split_topk,linear1022,logreg_subject_z,anchor_z_robust,split_topk,train_loso,0.5535230352303524,0.10548064664773216,0.5535230352303524,0.5535230352303524,41
poly1022|logreg_subject_z|resp_all_std|split_topk,poly1022,logreg_subject_z,resp_all_std,split_topk,train_loso,0.5535230352303523,0.12225224440339807,0.5535230352303524,0.5535230352303523,41
truncate1022|logreg_subject_z|resp_all_std|split_topk,truncate1022,logreg_subject_z,resp_all_std,split_topk,train_loso,0.5521680216802167,0.12095222789722901,0.5521680216802167,0.5521680216802167,41
truncate1022|logreg_subject_z|resp_all_robust|split_topk,truncate1022,logreg_subject_z,resp_all_robust,split_topk,train_loso,0.5508130081300813,0.11865085839103162,0.5508130081300813,0.5508130081300813,41
poly1022|logreg_subject_z|anchor_z_robust|split_topk,poly1022,logreg_subject_z,anchor_z_robust,split_topk,train_loso,0.5487804878048781,0.11516568978468916,0.5487804878048781,0.5487804878048781,41
linear1022|xgb_global|anchor_center_robust|split_topk,linear1022,xgb_global,anchor_center_robust,split_topk,train_loso,0.5474254742547425,0.1180545592178585,0.5474254742547425,0.5474254742547425,41
linear1022|xgb_global|anchor_center_robust|joint_weighted,linear1022,xgb_global,anchor_center_robust,joint_weighted,train_loso,0.5426829268292683,0.11302135043841592,0.5426829268292683,0.5426829268292683,41
truncate1022|xgb_global|anchor_center_robust|split_topk,truncate1022,xgb_global,anchor_center_robust,split_topk,train_loso,0.5386178861788617,0.10260459297344937,0.5386178861788617,0.5386178861788617,41
poly1022|xgb_global|resp_all_std|split_topk,poly1022,xgb_global,resp_all_std,split_topk,train_loso,0.5365853658536586,0.09927185216535277,0.5365853658536586,0.5365853658536586,41
poly1022|xgb_global|anchor_center_robust|split_topk,poly1022,xgb_global,anchor_center_robust,split_topk,train_loso,0.5359078590785908,0.10905102413871728,0.5359078590785908,0.5359078590785908,41
poly1022|xgb_global|resp_all_robust|split_topk,poly1022,xgb_global,resp_all_robust,split_topk,train_loso,0.5352303523035231,0.10812379847400319,0.5352303523035231,0.5352303523035231,41
truncate1022|xgb_global|anchor_center_robust|joint_weighted,truncate1022,xgb_global,anchor_center_robust,joint_weighted,train_loso,0.535230352303523,0.10883508985663205,0.535230352303523,0.535230352303523,41
truncate1022|xgb_global|anchor_z_robust|joint_weighted,truncate1022,xgb_global,anchor_z_robust,joint_weighted,train_loso,0.5331978319783198,0.1022923054206356,0.5331978319783198,0.5331978319783198,41
truncate1022|xgb_global|resp_all_std|joint_weighted,truncate1022,xgb_global,resp_all_std,joint_weighted,train_loso,0.529810298102981,0.11493258959301779,0.529810298102981,0.529810298102981,41
poly1022|xgb_global|anchor_center_robust|joint_weighted,poly1022,xgb_global,anchor_center_robust,joint_weighted,train_loso,0.529810298102981,0.10943003358001173,0.529810298102981,0.529810298102981,41
linear1022|xgb_global|resp_all_robust|split_topk,linear1022,xgb_global,resp_all_robust,split_topk,train_loso,0.5284552845528455,0.11545130929455047,0.5284552845528455,0.5284552845528455,41
truncate1022|xgb_global|anchor_z_robust|split_topk,truncate1022,xgb_global,anchor_z_robust,split_topk,train_loso,0.5277777777777778,0.09682458365518543,0.5277777777777778,0.5277777777777778,41
linear1022|xgb_global|resp_all_std|joint_weighted,linear1022,xgb_global,resp_all_std,joint_weighted,train_loso,0.5271002710027101,0.1120598049237743,0.5271002710027101,0.5271002710027101,41
linear1022|xgb_global|anchor_z_robust|split_topk,linear1022,xgb_global,anchor_z_robust,split_topk,train_loso,0.5271002710027101,0.11578499605584965,0.5271002710027101,0.5271002710027101,41
linear1022|xgb_global|anchor_z_robust|joint_weighted,linear1022,xgb_global,anchor_z_robust,joint_weighted,train_loso,0.5257452574525746,0.10783185998164121,0.5257452574525746,0.5257452574525746,41
poly1022|xgb_global|anchor_z_robust|split_topk,poly1022,xgb_global,anchor_z_robust,split_topk,train_loso,0.5250677506775068,0.10915021045898166,0.5250677506775068,0.5250677506775068,41
linear1022|xgb_global|resp_all_std|split_topk,linear1022,xgb_global,resp_all_std,split_topk,train_loso,0.5243902439024392,0.1152351196091188,0.5243902439024392,0.5243902439024392,41
truncate1022|xgb_global|resp_all_robust|joint_weighted,truncate1022,xgb_global,resp_all_robust,joint_weighted,train_loso,0.5223577235772358,0.10851471855619552,0.5223577235772358,0.5223577235772358,41
linear1022|xgb_global|resp_all_robust|joint_weighted,linear1022,xgb_global,resp_all_robust,joint_weighted,train_loso,0.5223577235772358,0.11045282639833036,0.5223577235772358,0.5223577235772358,41
poly1022|xgb_global|resp_all_std|joint_weighted,poly1022,xgb_global,resp_all_std,joint_weighted,train_loso,0.5210027100271003,0.08801227638767947,0.5210027100271003,0.5210027100271003,41
poly1022|xgb_global|anchor_z_robust|joint_weighted,poly1022,xgb_global,anchor_z_robust,joint_weighted,train_loso,0.5196476964769648,0.10780567766731046,0.5196476964769648,0.5196476964769648,41
poly1022|xgb_global|resp_all_robust|joint_weighted,poly1022,xgb_global,resp_all_robust,joint_weighted,train_loso,0.5182926829268293,0.09267329364825543,0.5182926829268293,0.5182926829268293,41
truncate1022|xgb_global|resp_all_robust|split_topk,truncate1022,xgb_global,resp_all_robust,split_topk,train_loso,0.516260162601626,0.11058479683018323,0.516260162601626,0.516260162601626,41
truncate1022|xgb_global|resp_all_std|split_topk,truncate1022,xgb_global,resp_all_std,split_topk,train_loso,0.516260162601626,0.11041022164210759,0.516260162601626,0.516260162601626,41
truncate1022|xgb_subject_z|resp_all_robust|joint_weighted,truncate1022,xgb_subject_z,resp_all_robust,joint_weighted,validation,0.6064814814814815,0.09085061718405399,0.6064814814814815,0.6064814814814815,12
poly1022|xgb_subject_robust|anchor_z_robust|joint_weighted,poly1022,xgb_subject_robust,anchor_z_robust,joint_weighted,validation,0.601851851851852,0.09500231355601366,0.601851851851852,0.601851851851852,12
poly1022|xgb_subject_robust|resp_all_std|joint_weighted,poly1022,xgb_subject_robust,resp_all_std,joint_weighted,validation,0.5949074074074074,0.08740742524110987,0.5949074074074074,0.5949074074074074,12
truncate1022|logreg_subject_z|resp_all_std|joint_weighted,truncate1022,logreg_subject_z,resp_all_std,joint_weighted,validation,0.5902777777777778,0.061688047981344,0.5902777777777778,0.5902777777777778,12
truncate1022|xgb_subject_z|resp_all_robust|split_topk,truncate1022,xgb_subject_z,resp_all_robust,split_topk,validation,0.5879629629629629,0.08929306260178663,0.5879629629629629,0.5879629629629629,12
linear1022|xgb_subject_z|anchor_z_robust|joint_weighted,linear1022,xgb_subject_z,anchor_z_robust,joint_weighted,validation,0.5856481481481483,0.08496577291124227,0.5856481481481483,0.5856481481481483,12
poly1022|xgb_subject_robust|resp_all_robust|joint_weighted,poly1022,xgb_subject_robust,resp_all_robust,joint_weighted,validation,0.5856481481481483,0.09209673625612934,0.5856481481481481,0.5856481481481483,12
poly1022|xgb_subject_robust|anchor_z_robust|split_topk,poly1022,xgb_subject_robust,anchor_z_robust,split_topk,validation,0.5856481481481483,0.09800073104165517,0.5856481481481483,0.5856481481481483,12
truncate1022|xgb_subject_z|resp_all_std|joint_weighted,truncate1022,xgb_subject_z,resp_all_std,joint_weighted,validation,0.5833333333333334,0.09401267913629438,0.5833333333333334,0.5833333333333334,12
truncate1022|xgb_subject_z|anchor_z_robust|joint_weighted,truncate1022,xgb_subject_z,anchor_z_robust,joint_weighted,validation,0.5833333333333334,0.08784104611578829,0.5833333333333334,0.5833333333333334,12
truncate1022|xgb_subject_robust|resp_all_robust|split_topk,truncate1022,xgb_subject_robust,resp_all_robust,split_topk,validation,0.5833333333333334,0.08033320060902457,0.5833333333333334,0.5833333333333334,12
truncate1022|xgb_subject_robust|resp_all_std|split_topk,truncate1022,xgb_subject_robust,resp_all_std,split_topk,validation,0.5833333333333334,0.06906461783422901,0.5833333333333334,0.5833333333333334,12
truncate1022|logreg_subject_z|resp_all_robust|split_topk,truncate1022,logreg_subject_z,resp_all_robust,split_topk,validation,0.5833333333333334,0.07106690545187017,0.5833333333333334,0.5833333333333334,12
linear1022|xgb_subject_robust|resp_all_std|joint_weighted,linear1022,xgb_subject_robust,resp_all_std,joint_weighted,validation,0.5833333333333334,0.08458653648709205,0.5833333333333334,0.5833333333333334,12
linear1022|xgb_subject_z|anchor_z_robust|split_topk,linear1022,xgb_subject_z,anchor_z_robust,split_topk,validation,0.5787037037037038,0.11893733869134378,0.5787037037037037,0.5787037037037038,12
linear1022|xgb_subject_robust|anchor_z_robust|split_topk,linear1022,xgb_subject_robust,anchor_z_robust,split_topk,validation,0.5787037037037037,0.08018753738744802,0.5787037037037037,0.5787037037037037,12
truncate1022|xgb_subject_robust|resp_all_std|joint_weighted,truncate1022,xgb_subject_robust,resp_all_std,joint_weighted,validation,0.576388888888889,0.07119017858086087,0.576388888888889,0.576388888888889,12
truncate1022|logreg_subject_z|resp_all_std|split_topk,truncate1022,logreg_subject_z,resp_all_std,split_topk,validation,0.576388888888889,0.0711901785808609,0.576388888888889,0.576388888888889,12
linear1022|xgb_subject_z|resp_all_std|split_topk,linear1022,xgb_subject_z,resp_all_std,split_topk,validation,0.576388888888889,0.09631612396234117,0.576388888888889,0.576388888888889,12
truncate1022|xgb_subject_z|resp_all_std|split_topk,truncate1022,xgb_subject_z,resp_all_std,split_topk,validation,0.5740740740740741,0.09046374267762912,0.5740740740740741,0.5740740740740741,12
poly1022|xgb_subject_z|resp_all_std|split_topk,poly1022,xgb_subject_z,resp_all_std,split_topk,validation,0.5740740740740741,0.10415965184012135,0.5740740740740741,0.5740740740740741,12
linear1022|xgb_subject_robust|anchor_z_robust|joint_weighted,linear1022,xgb_subject_robust,anchor_z_robust,joint_weighted,validation,0.574074074074074,0.06838416165518484,0.574074074074074,0.574074074074074,12
truncate1022|logreg_subject_z|resp_all_robust|joint_weighted,truncate1022,logreg_subject_z,resp_all_robust,joint_weighted,validation,0.5717592592592593,0.05224791616642365,0.5717592592592592,0.5717592592592593,12
linear1022|xgb_subject_z|resp_all_robust|joint_weighted,linear1022,xgb_subject_z,resp_all_robust,joint_weighted,validation,0.5717592592592593,0.09655858154913986,0.5717592592592592,0.5717592592592593,12
poly1022|xgb_subject_z|resp_all_std|joint_weighted,poly1022,xgb_subject_z,resp_all_std,joint_weighted,validation,0.5717592592592593,0.09133190582744115,0.5717592592592592,0.5717592592592593,12
truncate1022|xgb_subject_robust|anchor_z_robust|split_topk,truncate1022,xgb_subject_robust,anchor_z_robust,split_topk,validation,0.5717592592592592,0.07626443795649482,0.5717592592592592,0.5717592592592592,12
linear1022|xgb_subject_z|resp_all_robust|split_topk,linear1022,xgb_subject_z,resp_all_robust,split_topk,validation,0.5694444444444445,0.10887909665308133,0.5694444444444445,0.5694444444444445,12
linear1022|xgb_subject_robust|resp_all_robust|joint_weighted,linear1022,xgb_subject_robust,resp_all_robust,joint_weighted,validation,0.5694444444444444,0.07811973888009101,0.5694444444444444,0.5694444444444444,12
poly1022|xgb_subject_z|resp_all_robust|split_topk,poly1022,xgb_subject_z,resp_all_robust,split_topk,validation,0.5671296296296298,0.10949476701191202,0.5671296296296297,0.5671296296296298,12
linear1022|logreg_subject_z|resp_all_std|joint_weighted,linear1022,logreg_subject_z,resp_all_std,joint_weighted,validation,0.5671296296296297,0.08660119040938029,0.5671296296296297,0.5671296296296297,12
poly1022|xgb_subject_robust|anchor_center_robust|joint_weighted,poly1022,xgb_subject_robust,anchor_center_robust,joint_weighted,validation,0.5671296296296297,0.09509456376084253,0.5671296296296297,0.5671296296296297,12
poly1022|logreg_subject_z|resp_all_std|split_topk,poly1022,logreg_subject_z,resp_all_std,split_topk,validation,0.5671296296296297,0.08660119040938027,0.5671296296296297,0.5671296296296297,12
poly1022|xgb_subject_robust|resp_all_std|split_topk,poly1022,xgb_subject_robust,resp_all_std,split_topk,validation,0.5648148148148149,0.09200148016831709,0.5648148148148149,0.5648148148148149,12
linear1022|xgb_subject_robust|resp_all_std|split_topk,linear1022,xgb_subject_robust,resp_all_std,split_topk,validation,0.5648148148148148,0.08568510896003725,0.5648148148148148,0.5648148148148148,12
linear1022|logreg_subject_z|resp_all_robust|split_topk,linear1022,logreg_subject_z,resp_all_robust,split_topk,validation,0.5648148148148148,0.0942610618125887,0.5648148148148148,0.5648148148148148,12
linear1022|logreg_subject_z|resp_all_std|split_topk,linear1022,logreg_subject_z,resp_all_std,split_topk,validation,0.5648148148148148,0.09046374267762913,0.5648148148148148,0.5648148148148148,12
linear1022|xgb_subject_robust|resp_all_robust|split_topk,linear1022,xgb_subject_robust,resp_all_robust,split_topk,validation,0.5625,0.09030205578756932,0.5625,0.5625,12
truncate1022|xgb_subject_robust|resp_all_robust|joint_weighted,truncate1022,xgb_subject_robust,resp_all_robust,joint_weighted,validation,0.5601851851851852,0.08690440499727942,0.5601851851851852,0.5601851851851852,12
truncate1022|xgb_subject_robust|anchor_z_robust|joint_weighted,truncate1022,xgb_subject_robust,anchor_z_robust,joint_weighted,validation,0.5601851851851852,0.08527480280841591,0.5601851851851852,0.5601851851851852,12
linear1022|xgb_subject_z|resp_all_std|joint_weighted,linear1022,xgb_subject_z,resp_all_std,joint_weighted,validation,0.5601851851851852,0.08105759038623005,0.5601851851851852,0.5601851851851852,12
linear1022|xgb_subject_z|anchor_center_robust|joint_weighted,linear1022,xgb_subject_z,anchor_center_robust,joint_weighted,validation,0.5601851851851852,0.09007520655410713,0.5601851851851852,0.5601851851851852,12
linear1022|logreg_subject_z|anchor_z_robust|joint_weighted,linear1022,logreg_subject_z,anchor_z_robust,joint_weighted,validation,0.5601851851851852,0.10779999076867726,0.5601851851851852,0.5601851851851852,12
poly1022|xgb_subject_z|anchor_z_robust|joint_weighted,poly1022,xgb_subject_z,anchor_z_robust,joint_weighted,validation,0.5601851851851852,0.10382238278895382,0.5601851851851852,0.5601851851851852,12
