model,preprocessing,label_scheme,subject_held_out,n_val,accuracy,balanced_accuracy,macro_f1,f1_NoPain,f1_PainArm,f1_PainHand,f1_Pain
rf,global,3class,28,36,0.5,0.5,0.4749936143039591,0.72,0.2222222222222222,0.4827586206896552,
rf,global,3class,29,36,0.4722222222222222,0.47222222222222227,0.457172342621259,0.7368421052631579,0.5294117647058824,0.10526315789473684,
rf,global,3class,30,36,0.3333333333333333,0.3333333333333333,0.31216577540106955,0.47058823529411764,0.09090909090909091,0.375,
rf,global,3class,34,36,0.5833333333333334,0.5833333333333334,0.5904761904761905,0.7619047619047619,0.47619047619047616,0.5333333333333333,
rf,global,3class,36,36,0.5,0.5,0.43842364532019706,0.6896551724137931,0.14285714285714285,0.4827586206896552,
rf,global,3class,37,36,0.3611111111111111,0.36111111111111116,0.3014141414141414,0.48,0.42424242424242425,0.0,
rf,global,3class,41,36,0.6388888888888888,0.638888888888889,0.5805322128851541,0.7058823529411765,0.75,0.2857142857142857,
rf,global,3class,42,36,0.6111111111111112,0.6111111111111112,0.49404761904761907,0.8571428571428571,0.625,0.0,
rf,global,3class,43,36,0.5555555555555556,0.5555555555555555,0.5656938044034818,0.8,0.38095238095238093,0.5161290322580645,
rf,global,3class,44,36,0.5833333333333334,0.5833333333333334,0.5723104056437389,0.7407407407407407,0.5,0.47619047619047616,
rf,global,3class,45,36,0.4722222222222222,0.47222222222222227,0.4477782753644823,0.6896551724137931,0.2727272727272727,0.38095238095238093,
rf,global,3class,46,36,0.3055555555555556,0.3055555555555555,0.23523035230352304,0.43902439024390244,0.26666666666666666,0.0,
rf,global,3class,47,36,0.4722222222222222,0.47222222222222227,0.45119122917984394,0.6666666666666666,0.45161290322580644,0.23529411764705882,
rf,global,3class,48,36,0.4166666666666667,0.4166666666666667,0.39999999999999997,0.6923076923076923,0.3076923076923077,0.2,
rf,global,3class,49,36,0.6388888888888888,0.638888888888889,0.6162962962962962,0.8888888888888888,0.56,0.4,
