iter,train_logloss,val_logloss,config_id,resample_tag,norm_id,feature_set,model_id
77,0.23174493395102522,0.4269695511148139,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
78,0.23078599796620347,0.4269022888879085,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
79,0.22967486118337488,0.42701368361357944,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
80,0.22907389575479234,0.42774722022780526,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
81,0.2262746412635132,0.4269022327627883,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
82,0.22503999593607113,0.4264689031406306,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
83,0.2241594553861999,0.4267077441003898,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
84,0.22257081758127445,0.42680399667652735,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
85,0.22183016853831042,0.42668745047369694,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
86,0.22054947968313676,0.42672333263369555,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
87,0.2193996538010585,0.4268805617100076,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
88,0.21791600039245201,0.42670463583069956,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
89,0.2166415335137907,0.42689211479025996,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
90,0.21559720152205356,0.42659067838340653,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
91,0.21471382208896655,0.4273409971997521,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
92,0.21357963124711601,0.42794752598705665,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
93,0.21277772100089587,0.42803862713561913,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
94,0.21168510132970234,0.4282741106947436,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
95,0.21058670167974006,0.4280633576003041,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
96,0.20961799933783315,0.42819611916827316,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
97,0.2086281652065741,0.42803902935055604,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
98,0.2068454987277355,0.42763650963617555,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
99,0.20586184351667156,0.4273758338337454,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
100,0.20540716989075658,0.4277266717248562,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
101,0.20384544568978058,0.42772518014276606,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
102,0.20282513598014215,0.4277646796825273,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
103,0.2021009689957272,0.42808887177077987,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
104,0.20096541018803227,0.42862463854598226,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
105,0.19937015221035234,0.42876976158651003,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
106,0.1985057073185942,0.4285560169934157,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
107,0.19744746602830657,0.42841925636080475,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
108,0.19624202918522515,0.42853870908988434,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
109,0.19434854175471436,0.42787862540097665,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
110,0.19328100306169965,0.4281461583148619,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
111,0.19275762010738,0.42762914147978237,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
112,0.1913887627667629,0.42758626069257,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
113,0.1894176568631537,0.4278952981284992,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
114,0.18835494094553498,0.42774638301516127,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
115,0.18731090833520048,0.4278339722993594,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
116,0.18670428043570833,0.42786379680533343,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
117,0.1862121000176114,0.42807508770406627,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
118,0.18543622548739883,0.4282932792535845,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
119,0.18491938370084365,0.42817901355899973,truncate1022|subject_z|bvp_only|xgb|base,truncate1022,subject_z,bvp_only,xgb
