model,fold,held_out_subject,n_test,acc,macro_f1,balanced_acc
logreg,33,53,24,0.5,0.5,0.5
logreg,34,55,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
logreg,35,56,24,0.375,0.3739130434782609,0.375
logreg,36,57,24,0.4166666666666667,0.4125874125874126,0.41666666666666663
logreg,37,58,24,0.375,0.36507936507936506,0.375
logreg,38,59,24,0.75,0.7482517482517483,0.75
logreg,39,60,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
logreg,40,63,24,0.375,0.3739130434782609,0.375
rf,0,1,24,0.625,0.6190476190476191,0.625
rf,1,2,24,0.625,0.6243478260869566,0.625
rf,2,4,24,0.7083333333333334,0.7078260869565217,0.7083333333333333
rf,3,5,24,0.625,0.6243478260869566,0.625
rf,4,6,24,0.5416666666666666,0.5343915343915344,0.5416666666666666
rf,5,8,24,0.5,0.49650349650349646,0.5
rf,6,11,24,0.3333333333333333,0.3333333333333333,0.3333333333333333
rf,7,12,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
rf,8,13,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
rf,9,15,24,0.375,0.36507936507936506,0.375
rf,10,16,24,0.5833333333333334,0.5714285714285714,0.5833333333333334
rf,11,18,24,0.5,0.49650349650349646,0.5
rf,12,21,24,0.5,0.5,0.5
rf,13,22,24,0.5,0.5,0.5
rf,14,24,24,0.5833333333333334,0.5804195804195804,0.5833333333333333
rf,15,25,24,0.5416666666666666,0.5343915343915344,0.5416666666666666
rf,16,27,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
rf,17,28,24,0.7083333333333334,0.7078260869565217,0.7083333333333333
rf,18,29,24,0.5416666666666666,0.5208711433756805,0.5416666666666666
rf,19,30,24,0.5,0.4857142857142857,0.5
rf,20,34,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
rf,21,36,24,0.625,0.6243478260869566,0.625
rf,22,37,24,0.4166666666666667,0.37777777777777777,0.41666666666666663
rf,23,41,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
rf,24,42,24,0.5833333333333334,0.5804195804195804,0.5833333333333333
rf,25,43,24,0.5,0.5,0.5
rf,26,44,24,0.625,0.6243478260869566,0.625
rf,27,45,24,0.6666666666666666,0.6666666666666666,0.6666666666666666
rf,28,46,24,0.375,0.3739130434782609,0.375
rf,29,47,24,0.6666666666666666,0.6643356643356644,0.6666666666666667
rf,30,48,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
rf,31,49,24,0.4166666666666667,0.4166666666666667,0.4166666666666667
rf,32,52,24,0.6666666666666666,0.6666666666666666,0.6666666666666666
rf,33,53,24,0.5,0.49650349650349646,0.5
rf,34,55,24,0.3333333333333333,0.3333333333333333,0.3333333333333333
rf,35,56,24,0.3333333333333333,0.3333333333333333,0.3333333333333333
rf,36,57,24,0.375,0.36507936507936506,0.375
rf,37,58,24,0.5,0.5,0.5
rf,38,59,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
rf,39,60,24,0.5,0.49650349650349646,0.5
rf,40,63,24,0.4583333333333333,0.4497354497354497,0.45833333333333337
xgb,0,1,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
xgb,1,2,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
xgb,2,4,24,0.5833333333333334,0.5714285714285714,0.5833333333333334
xgb,3,5,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
xgb,4,6,24,0.625,0.6243478260869566,0.625
xgb,5,8,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
xgb,6,11,24,0.5,0.49650349650349646,0.5
xgb,7,12,24,0.5,0.49650349650349646,0.5
xgb,8,13,24,0.4166666666666667,0.4166666666666667,0.4166666666666667
xgb,9,15,24,0.6666666666666666,0.6643356643356644,0.6666666666666667
xgb,10,16,24,0.4166666666666667,0.4,0.4166666666666667
xgb,11,18,24,0.625,0.6190476190476191,0.625
xgb,12,21,24,0.4583333333333333,0.4497354497354497,0.45833333333333337
xgb,13,22,24,0.375,0.3739130434782609,0.375
xgb,14,24,24,0.5833333333333334,0.5714285714285714,0.5833333333333334
xgb,15,25,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
xgb,16,27,24,0.5,0.49650349650349646,0.5
xgb,17,28,24,0.625,0.6243478260869566,0.625
xgb,18,29,24,0.5416666666666666,0.5343915343915344,0.5416666666666666
xgb,19,30,24,0.625,0.6243478260869566,0.625
xgb,20,34,24,0.6666666666666666,0.6571428571428571,0.6666666666666667
xgb,21,36,24,0.5,0.49650349650349646,0.5
