feature,mean_rank,logreg_global_norm_imp,rf_global_norm_imp,xgb_global_norm_imp,logreg_subjectz_norm_imp,rf_subjectz_norm_imp,xgb_subjectz_norm_imp
Bvp_iqr,47.833333333333336,0.008114354168898505,0.0047260950860205705,0.006859534989568399,0.002270971271030168,0.014185878523362798,0.013370474243821286
Eda_mean_freq,48.0,0.0019088770581948764,0.007712255900011664,0.006495290249906715,0.02290679942908306,0.0056369545086106905,0.007240367189871206
RESP_rate,53.5,0.0029413344904705165,0.007483109419117719,0.007637929739062632,0.003541128224945356,0.005466790745523923,0.006913299839858178
Eda_total_power,58.666666666666664,0.00613717503782824,0.004759576684290864,0.007905506733452985,0.009024951067618272,0.0034415827563854732,0.0066249728827630396
Eda_spec_spread,59.0,0.02037673625063548,0.010756502811121933,0.0,0.026442073668367583,0.012219552780603393,0.0
Resp_mean_abs,59.833333333333336,0.005971291588249749,0.003919394278039735,0.006697402037699459,0.008766256960044941,0.004244990399326303,0.009730665246623636
Resp_samp_entropy,60.5,0.0036970413153541775,0.005811040551308046,0.006652100558855074,0.004718759154559335,0.004546373681661049,0.006282098747808837
EDA_range,61.166666666666664,0.0036678677660805206,0.007957209645659435,0.009727153874181932,0.002035001265400927,0.004759436857712217,0.006620797885580642
Bvp_hjorth_activity,61.833333333333336,0.005690017907431647,0.003774618474201535,0.007019419811482051,0.005866385214238466,0.006560945849005283,0.005722944140840098
Bvp_bp_vhf_rel,63.333333333333336,0.007037694285732892,0.004236032171896895,0.006041067681494103,0.005278733447063195,0.0052693256438128295,0.006266097857094331
Resp_median,64.16666666666667,0.002981588198026546,0.005695447569934612,0.007144811668777035,0.007009695301433254,0.004108221950443348,0.005721031530049488
BVP_sdnn,64.5,0.004856733711626146,0.0055671041897747305,0.0049423472816593735,0.01134375858473476,0.004579820323637541,0.005685673736369343
EDA_scr_amp_mean,65.0,0.013759522777227444,0.005126349218979533,0.007151133633451278,0.006825963146281002,0.003269946222289803,0.005516258578067255
Bvp_peak_rel_power,66.16666666666667,0.0023494256525514257,0.0057898949618681705,0.006805116446701933,0.0066046955470508905,0.004436289609453508,0.005774257355445151
BVP_hr_mean,66.16666666666667,0.00459809815621204,0.004904409340091362,0.005223891693927392,0.014481939698064833,0.004934600677525883,0.005501764601121128
Eda_min,66.66666666666667,0.011347345009878258,0.003967878744737319,0.006416006671580994,0.005535017801561216,0.004228583714585432,0.005936765665925127
Bvp_rms,67.0,0.003998927426151878,0.01486454177431185,0.03305677750451586,0.0023691499818356133,0.006474942415438131,0.003489395306139831
EDA_tonic_mean,67.5,0.009794598179987601,0.004733285700560402,0.005315837472408854,0.004144379956445054,0.004894442080388409,0.005781822627724707
BVP_rr_mean,68.83333333333333,0.0014449778143737291,0.004831820593952218,0.005865602819368748,0.01079063478465327,0.0048864453967666305,0.007472025717505739
Eda_cv,70.16666666666667,0.005510486301281724,0.005588450290040497,0.006311842499599197,0.004629741407494155,0.0035951394331311046,0.005960211753174977
raw_Bvp_mean,74.66666666666667,0.004011564554859991,0.01370464882665981,0.0010728373491977116,0.005109541305743898,0.0062887293413444265,0.0047545492008662735
Eda_rms,75.0,0.004022986254538835,0.004176490792819141,0.0020828604689737385,0.009100811830163346,0.005601278114019124,0.007906053520157347
Eda_std,76.33333333333333,0.007720806591265416,0.005377920402774905,0.0,0.006579620832790994,0.0034641630183639065,0.010122477347277635
Bvp_spec_flatness,76.5,0.007062225697598366,0.0034337472846871727,0.007451445634159465,0.0014938703792225444,0.0061986255579757924,0.006559846864726204
Eda_spec_entropy,76.5,0.01680642157187307,0.005382445960849923,0.005299117388862923,0.008613937531741483,0.004085626047710769,0.004091022340974924
Eda_peak_power,77.33333333333333,0.0047231546928001465,0.004682525900192029,0.007606012565134951,0.007667558285513332,0.003303235131450133,0.0053980439465226805
Resp_energy,77.83333333333333,0.008872862570658866,0.0037719644342244364,0.004808589296417463,0.015082978299188228,0.003806356428321289,0.0064345819893536155
Resp_mad,79.16666666666667,0.006108030322210305,0.004354204043022907,0.006060968826591368,0.0021259358289469708,0.00427562608821949,0.009066242459099542
Eda_samp_entropy,79.33333333333333,0.007543143943138148,0.005551653093787689,0.005346142589129675,0.00963401229261255,0.003776970185891752,0.004394098655485224
Eda_mean,79.66666666666667,0.002951803863481986,0.004345571069988263,0.006735090830888236,0.0019825482936137464,0.00580456388413824,0.012713784908261576
