model,feature_set,norm,calibration,anchor,anchor_lambda,scaler,n_features,loso_acc_mean,loso_acc_std,loso_acc_min,val_acc_mean,val_acc_std,val_acc_min,loso_auc,val_auc
logreg,bvp_eda_resp_small,subject_robust,isotonic,center,0.5,std,70,0.8333333333333335,0.1137888714103903,0.5,0.8101851851851851,0.06975240358018224,0.6666666666666666,0.8904979674796748,0.8598331404320988
logreg,bvp_eda_core,subject_z,isotonic,center,0.5,std,98,0.8333333333333335,0.10626278551055636,0.5555555555555556,0.7916666666666666,0.09107553505975001,0.6111111111111112,0.8862738779826821,0.8689477237654321
logreg,bvp_eda_core,subject_robust,sigmoid,none,0.5,std,98,0.8333333333333333,0.11378887141039032,0.4444444444444444,0.7824074074074074,0.08005377993421565,0.6666666666666666,0.8909709828805605,0.8626060956790124
xgb,bvp_eda_core,subject_robust,isotonic,none,0.5,std,98,0.8319783197831977,0.11144111216776201,0.5555555555555556,0.8425925925925926,0.0843558664735583,0.7222222222222222,0.8969828227245686,0.8998722029320987
xgb,bvp_eda_resp_small,subject_z,isotonic,center,0.5,std,70,0.8306233062330624,0.11175371057189841,0.5,0.8240740740740741,0.09024809578526818,0.6666666666666666,0.8885026274043228,0.8741078317901235
logreg,eda_bvp_fwd8,subject_robust,isotonic,center,0.5,std,8,0.8306233062330624,0.10408056568927652,0.5,0.8055555555555555,0.06612433730132268,0.6666666666666666,0.8824360499702559,0.8575183256172839
logreg,bvp_eda_resp_small,subject_robust,sigmoid,none,0.5,std,70,0.829268292682927,0.12355167804937524,0.3888888888888889,0.8101851851851851,0.08320463312783069,0.6666666666666666,0.8974011005353956,0.8705150462962964
logreg,bvp_eda_resp_small,subject_robust,sigmoid,center,0.5,std,70,0.829268292682927,0.1147049183472537,0.4444444444444444,0.8194444444444445,0.07564877147392682,0.6666666666666666,0.8791993026637583,0.8620032793209876
xgb,bvp_eda_core,subject_z,sigmoid,none,0.5,std,98,0.829268292682927,0.11730066725110647,0.3888888888888889,0.8425925925925926,0.08735167714867224,0.6666666666666666,0.895717661444907,0.8874903549382716
logreg,eda_bvp_fwd8,subject_z,isotonic,center,0.5,std,8,0.8292682926829268,0.11204905197521964,0.4444444444444444,0.8055555555555555,0.08636462086193346,0.6111111111111112,0.8776935025447815,0.8607253086419754
