strategy,model,subject,loso_macro_f1,val_macro_f1
subject_robust,logreg,57,0.5,
subject_robust,logreg,58,0.5,
subject_robust,logreg,59,0.75,
subject_robust,logreg,60,0.3333333333333333,
subject_robust,logreg,63,0.5833333333333334,
subject_robust,logreg,7,,0.3333333333333333
subject_robust,logreg,9,,0.5
subject_robust,logreg,10,,0.5
subject_robust,logreg,14,,0.6666666666666666
subject_robust,logreg,19,,0.5
subject_robust,logreg,35,,0.5
subject_robust,logreg,38,,0.5833333333333334
subject_robust,logreg,39,,0.5833333333333334
subject_robust,logreg,40,,0.6666666666666666
subject_robust,logreg,61,,0.5
subject_robust,logreg,62,,0.5
subject_robust,logreg,65,,0.4166666666666667
subject_robust,xgb,1,0.6666666666666666,
subject_robust,xgb,2,0.5833333333333334,
subject_robust,xgb,4,0.3333333333333333,
subject_robust,xgb,5,0.5,
subject_robust,xgb,6,0.5,
subject_robust,xgb,8,0.5,
subject_robust,xgb,11,0.4166666666666667,
subject_robust,xgb,12,0.5,
subject_robust,xgb,13,0.5,
subject_robust,xgb,15,0.3333333333333333,
subject_robust,xgb,16,0.4166666666666667,
subject_robust,xgb,18,0.3333333333333333,
subject_robust,xgb,21,0.5,
subject_robust,xgb,22,0.5,
subject_robust,xgb,24,0.5,
subject_robust,xgb,25,0.4166666666666667,
subject_robust,xgb,27,0.6666666666666666,
subject_robust,xgb,28,0.6666666666666666,
subject_robust,xgb,29,0.5833333333333334,
subject_robust,xgb,30,0.6666666666666666,
subject_robust,xgb,34,0.5,
subject_robust,xgb,36,0.75,
subject_robust,xgb,37,0.5833333333333334,
subject_robust,xgb,41,0.5,
subject_robust,xgb,42,0.6666666666666666,
subject_robust,xgb,43,0.5833333333333334,
subject_robust,xgb,44,0.4166666666666667,
subject_robust,xgb,45,0.5833333333333334,
subject_robust,xgb,46,0.5,
subject_robust,xgb,47,0.4166666666666667,
subject_robust,xgb,48,0.6666666666666666,
subject_robust,xgb,49,0.5833333333333334,
subject_robust,xgb,52,0.6666666666666666,
subject_robust,xgb,53,0.75,
subject_robust,xgb,55,0.4166666666666667,
subject_robust,xgb,56,0.3333333333333333,
subject_robust,xgb,57,0.4166666666666667,
