mode,split,subject,reactivity,macro_f1
squared_inv,loso,37,3.55100154876709,0.6666666666666666
squared_inv,loso,41,6.754418849945068,0.5
squared_inv,loso,42,8.899688720703125,0.5833333333333334
squared_inv,loso,43,5.403414726257324,0.4166666666666667
squared_inv,loso,44,4.567148208618164,0.5833333333333334
squared_inv,loso,45,4.966814994812012,0.5833333333333334
squared_inv,loso,46,3.136904239654541,0.5
squared_inv,loso,47,8.70332145690918,0.5833333333333334
squared_inv,loso,48,5.387817859649658,0.5833333333333334
squared_inv,loso,49,5.741820335388184,0.5
squared_inv,loso,52,4.7716965675354,0.5833333333333334
squared_inv,loso,53,3.805508613586426,0.5833333333333334
squared_inv,loso,55,4.2115397453308105,0.3333333333333333
squared_inv,loso,56,3.5431220531463623,0.25
squared_inv,loso,57,5.192074298858643,0.5833333333333334
squared_inv,loso,58,6.940463542938232,0.5
squared_inv,loso,59,6.267582893371582,0.5833333333333334
squared_inv,loso,60,4.816225051879883,0.5833333333333334
squared_inv,loso,63,4.817370414733887,0.3333333333333333
squared_inv,val,7,13.883086204528809,0.5833333333333334
squared_inv,val,9,16.824832916259766,0.5833333333333334
squared_inv,val,10,6.082812309265137,0.5
squared_inv,val,14,3.967384099960327,0.6666666666666666
squared_inv,val,19,11.72419261932373,0.5833333333333334
squared_inv,val,35,4.105310440063477,0.5
squared_inv,val,38,3.8232855796813965,0.4166666666666667
squared_inv,val,39,9.087468147277832,0.6666666666666666
squared_inv,val,40,4.617848873138428,0.5833333333333334
squared_inv,val,61,4.148331165313721,0.5833333333333334
squared_inv,val,62,5.286617755889893,0.5
squared_inv,val,65,4.017488479614258,0.5833333333333334
boost_hard,loso,1,5.483057498931885,0.5
boost_hard,loso,2,15.268511772155762,0.4166666666666667
boost_hard,loso,4,4.745827674865723,0.4166666666666667
boost_hard,loso,5,11.29763412475586,0.5833333333333334
boost_hard,loso,6,10.289689064025879,0.5833333333333334
boost_hard,loso,8,8.2930908203125,0.5833333333333334
boost_hard,loso,11,3.661076545715332,0.4166666666666667
boost_hard,loso,12,6.768889427185059,0.5833333333333334
