subject,f1,acc,n_windows,bvp_std_mean,eda_std_mean,resp_std_mean,spo2_std_mean,feat_median_cv,feat_outlier_frac,class_separability_max,class_separability_mean,class_separability_top10
21,0.5277777777777778,0.5277777777777778,36,0.9192326,110.74748,3.0941346,1981.6996,0.17417055368423462,0.015068134171907758,1.9661165475845337,0.6274377703666687,1.8669408559799194
12,0.5277777777777778,0.5277777777777778,36,1.0288638,104.83473,4.5116744,10303.419,0.2193516045808792,0.011530398322851155,1.7989221811294556,0.79642254114151,1.6264288425445557
57,0.5277777777777778,0.5277777777777778,36,1.1734474,64.179855,1.9439023,36684.883,0.23090283572673798,0.018343815513626835,1.8040202856063843,0.4875708818435669,1.6558945178985596
60,0.5555555555555556,0.5555555555555556,36,1.1242715,37.230133,3.5968814,21134.586,0.2439132183790207,0.008254716981132075,2.393975257873535,0.6140021085739136,2.105893850326538
58,0.5833333333333334,0.5833333333333334,36,0.9777462,339.33804,3.1633317,4510.1694,0.2615355849266052,0.01061320754716981,2.364041805267334,1.0631285905838013,2.1162822246551514
49,0.5833333333333334,0.5833333333333334,36,0.8600738,130.28987,20.00917,25536.535,0.2659064829349518,0.017950733752620546,3.041181802749634,1.0808370113372803,2.5474905967712402
30,0.5833333333333334,0.5833333333333334,36,1.7605665,86.103134,4.8500886,31380.783,0.3044309616088867,0.020964360587002094,1.4750009775161743,0.5974147319793701,1.2999379634857178
24,0.5833333333333334,0.5833333333333334,36,1.6586967,280.75247,3.0838814,7751.965,0.2508504390716553,0.012447589098532495,1.8418711423873901,0.7172756195068359,1.5422382354736328
8,0.5833333333333334,0.5833333333333334,36,0.73371214,636.1803,2.4105573,93728.29,0.25939324498176575,0.011923480083857442,3.462564706802368,1.171777367591858,3.066164970397949
27,0.5833333333333334,0.5833333333333334,36,1.392491,51.14389,4.1588573,26279.828,0.216815784573555,0.02397798742138365,1.5720692873001099,0.6294249892234802,1.4265761375427246
52,0.5833333333333334,0.5833333333333334,36,0.94761264,77.25547,3.1019344,13245.732,0.2527644634246826,0.0110062893081761,2.742849826812744,1.1009180545806885,2.4962515830993652
29,0.611111111111111,0.6111111111111112,36,2.2392945,974.04694,5.797239,47881.72,0.3496030569076538,0.015854297693920338,2.213205099105835,1.0120693445205688,2.0569021701812744
43,0.6111111111111112,0.6111111111111112,36,2.0701134,511.71515,3.0912285,18029.328,0.260153204202652,0.01781970649895178,3.639600992202759,1.2792688608169556,3.2539126873016357
37,0.6388888888888888,0.6388888888888888,36,1.0128621,11.332755,74.48163,4331.876,0.21716150641441345,0.012840670859538784,1.8409479856491089,0.6641383767127991,1.775653600692749
47,0.638888888888889,0.6388888888888888,36,1.2922043,206.65042,6.6079016,29088.602,0.23433680832386017,0.018867924528301886,1.8153347969055176,0.8189796209335327,1.7443177700042725
48,0.6666666666666666,0.6666666666666666,36,1.1894207,202.7983,5.419433,6464.2446,0.2493385672569275,0.0195230607966457,1.688486933708191,0.8041258454322815,1.5367027521133423
1,0.6666666666666666,0.6666666666666666,36,1.0875763,71.34027,2.839922,60858.875,0.255812406539917,0.008778825995807128,2.590186834335327,0.9447734951972961,2.3009419441223145
13,0.6666666666666666,0.6666666666666666,36,1.2229124,332.8625,1.6819245,13116.933,0.2431829273700714,0.019261006289308175,1.9586697816848755,0.7200925946235657,1.8811299800872803
