stage1_model,stage1_norm,stage1_anchor_mode,stage2_model,stage2_norm,w0,w1,w2,train_loso_macro_f1,val_macro_f1,train_loso_accuracy,val_accuracy,modality
logreg,subject_robust,none,logreg,subject_robust,0.6,1.4,1.6,0.5474254742547425,0.5023148148148148,0.5474254742547425,0.5023148148148148,bvp
logreg,subject_robust,center,xgb,subject_z,0.8,1.2,1.4,0.543360433604336,0.5115740740740741,0.5433604336043361,0.5115740740740741,bvp
logreg,subject_robust,center,xgb,subject_z,1.0,1.0,1.0,0.5447154471544716,0.5069444444444445,0.5447154471544715,0.5069444444444444,bvp
logreg,subject_robust,center,xgb,subject_z,0.6,1.4,1.6,0.5460704607046071,0.5115740740740741,0.5460704607046071,0.5115740740740741,bvp
logreg,subject_robust,center,xgb,subject_robust,0.8,1.2,1.4,0.5345528455284553,0.5115740740740741,0.5345528455284553,0.5115740740740741,bvp
logreg,subject_robust,center,xgb,subject_robust,1.0,1.0,1.0,0.5460704607046071,0.5231481481481483,0.5460704607046071,0.5231481481481481,bvp
logreg,subject_robust,center,xgb,subject_robust,0.6,1.4,1.6,0.5325203252032521,0.5115740740740741,0.532520325203252,0.5115740740740741,bvp
logreg,subject_robust,center,logreg,subject_z,0.8,1.2,1.4,0.5365853658536586,0.5231481481481481,0.5365853658536586,0.5231481481481481,bvp
logreg,subject_robust,center,logreg,subject_z,1.0,1.0,1.0,0.537940379403794,0.5277777777777778,0.537940379403794,0.5277777777777778,bvp
logreg,subject_robust,center,logreg,subject_z,0.6,1.4,1.6,0.5352303523035231,0.5023148148148148,0.535230352303523,0.5023148148148148,bvp
logreg,subject_robust,center,logreg,subject_robust,0.8,1.2,1.4,0.5338753387533876,0.5115740740740741,0.5338753387533876,0.5115740740740741,bvp
logreg,subject_robust,center,logreg,subject_robust,1.0,1.0,1.0,0.5284552845528455,0.5162037037037037,0.5284552845528455,0.5162037037037037,bvp
logreg,subject_robust,center,logreg,subject_robust,0.6,1.4,1.6,0.5433604336043361,0.5069444444444444,0.5433604336043361,0.5069444444444444,bvp
xgb,subject_z,none,xgb,subject_z,0.8,1.2,1.4,0.48373983739837395,0.48379629629629634,0.483739837398374,0.4837962962962963,eda
xgb,subject_z,none,xgb,subject_z,1.0,1.0,1.0,0.49728997289972904,0.4907407407407407,0.497289972899729,0.49074074074074076,eda
xgb,subject_z,none,xgb,subject_z,0.6,1.4,1.6,0.491869918699187,0.4930555555555556,0.491869918699187,0.4930555555555556,eda
xgb,subject_z,none,xgb,subject_robust,0.8,1.2,1.4,0.49254742547425473,0.5,0.49254742547425473,0.5,eda
xgb,subject_z,none,xgb,subject_robust,1.0,1.0,1.0,0.49728997289972904,0.5092592592592592,0.497289972899729,0.5092592592592593,eda
xgb,subject_z,none,xgb,subject_robust,0.6,1.4,1.6,0.4972899728997289,0.5069444444444444,0.497289972899729,0.5069444444444444,eda
xgb,subject_z,none,logreg,subject_z,0.8,1.2,1.4,0.4911924119241193,0.5162037037037037,0.4911924119241192,0.5162037037037037,eda
xgb,subject_z,none,logreg,subject_z,1.0,1.0,1.0,0.48102981029810293,0.5162037037037037,0.481029810298103,0.5162037037037037,eda
xgb,subject_z,none,logreg,subject_z,0.6,1.4,1.6,0.49051490514905155,0.5185185185185185,0.4905149051490515,0.5185185185185185,eda
xgb,subject_z,none,logreg,subject_robust,0.8,1.2,1.4,0.49728997289972904,0.5185185185185185,0.497289972899729,0.5185185185185185,eda
xgb,subject_z,none,logreg,subject_robust,1.0,1.0,1.0,0.4850948509485095,0.5162037037037037,0.48509485094850946,0.5162037037037037,eda
xgb,subject_z,none,logreg,subject_robust,0.6,1.4,1.6,0.5047425474254742,0.5254629629629629,0.5047425474254743,0.5254629629629629,eda
xgb,subject_z,center,xgb,subject_z,0.8,1.2,1.4,0.48848238482384826,0.5023148148148148,0.48848238482384826,0.5023148148148148,eda
xgb,subject_z,center,xgb,subject_z,1.0,1.0,1.0,0.491869918699187,0.488425925925926,0.491869918699187,0.48842592592592593,eda
xgb,subject_z,center,xgb,subject_z,0.6,1.4,1.6,0.49728997289972904,0.5046296296296297,0.497289972899729,0.5046296296296297,eda
xgb,subject_z,center,xgb,subject_robust,0.8,1.2,1.4,0.5,0.5115740740740741,0.5,0.5115740740740741,eda
xgb,subject_z,center,xgb,subject_robust,1.0,1.0,1.0,0.4993224932249323,0.5046296296296297,0.4993224932249323,0.5046296296296297,eda
xgb,subject_z,center,xgb,subject_robust,0.6,1.4,1.6,0.5,0.4976851851851852,0.5,0.4976851851851852,eda
xgb,subject_z,center,logreg,subject_z,0.8,1.2,1.4,0.491869918699187,0.5069444444444445,0.491869918699187,0.5069444444444444,eda
xgb,subject_z,center,logreg,subject_z,1.0,1.0,1.0,0.4925474254742548,0.5185185185185185,0.49254742547425473,0.5185185185185185,eda
xgb,subject_z,center,logreg,subject_z,0.6,1.4,1.6,0.48915989159891593,0.5092592592592593,0.489159891598916,0.5092592592592593,eda
xgb,subject_z,center,logreg,subject_robust,0.8,1.2,1.4,0.48373983739837395,0.5069444444444444,0.483739837398374,0.5069444444444444,eda
xgb,subject_z,center,logreg,subject_robust,1.0,1.0,1.0,0.478319783197832,0.47222222222222215,0.47831978319783197,0.4722222222222222,eda
xgb,subject_z,center,logreg,subject_robust,0.6,1.4,1.6,0.49728997289972904,0.5185185185185186,0.497289972899729,0.5185185185185185,eda
xgb,subject_robust,none,xgb,subject_z,0.8,1.2,1.4,0.49051490514905155,0.46064814814814814,0.4905149051490515,0.46064814814814814,eda
xgb,subject_robust,none,xgb,subject_z,1.0,1.0,1.0,0.48577235772357724,0.4537037037037037,0.48577235772357724,0.4537037037037037,eda
xgb,subject_robust,none,xgb,subject_z,0.6,1.4,1.6,0.486449864498645,0.47453703703703703,0.48644986449864497,0.47453703703703703,eda
xgb,subject_robust,none,xgb,subject_robust,0.8,1.2,1.4,0.4972899728997289,0.4791666666666667,0.497289972899729,0.4791666666666667,eda
xgb,subject_robust,none,xgb,subject_robust,1.0,1.0,1.0,0.494579945799458,0.48148148148148145,0.494579945799458,0.48148148148148145,eda
xgb,subject_robust,none,xgb,subject_robust,0.6,1.4,1.6,0.49525745257452575,0.4791666666666667,0.49525745257452575,0.4791666666666667,eda
xgb,subject_robust,none,logreg,subject_z,0.8,1.2,1.4,0.48170731707317077,0.5092592592592592,0.4817073170731707,0.5092592592592593,eda
xgb,subject_robust,none,logreg,subject_z,1.0,1.0,1.0,0.4803523035230352,0.4907407407407407,0.4803523035230352,0.49074074074074076,eda
xgb,subject_robust,none,logreg,subject_z,0.6,1.4,1.6,0.48102981029810304,0.5023148148148149,0.481029810298103,0.5023148148148148,eda
xgb,subject_robust,none,logreg,subject_robust,0.8,1.2,1.4,0.4911924119241193,0.5115740740740741,0.4911924119241192,0.5115740740740741,eda
xgb,subject_robust,none,logreg,subject_robust,1.0,1.0,1.0,0.4850948509485095,0.4837962962962963,0.48509485094850946,0.4837962962962963,eda
xgb,subject_robust,none,logreg,subject_robust,0.6,1.4,1.6,0.5,0.5046296296296297,0.5,0.5046296296296297,eda
xgb,subject_robust,center,xgb,subject_z,0.8,1.2,1.4,0.48712737127371275,0.4884259259259259,0.48712737127371275,0.48842592592592593,eda
xgb,subject_robust,center,xgb,subject_z,1.0,1.0,1.0,0.4749322493224932,0.47453703703703703,0.4749322493224932,0.47453703703703703,eda
xgb,subject_robust,center,xgb,subject_z,0.6,1.4,1.6,0.48170731707317077,0.48148148148148145,0.4817073170731707,0.48148148148148145,eda
xgb,subject_robust,center,xgb,subject_robust,0.8,1.2,1.4,0.49457994579945797,0.4953703703703704,0.494579945799458,0.49537037037037035,eda
xgb,subject_robust,center,xgb,subject_robust,1.0,1.0,1.0,0.49051490514905155,0.4953703703703703,0.4905149051490515,0.49537037037037035,eda
xgb,subject_robust,center,xgb,subject_robust,0.6,1.4,1.6,0.494579945799458,0.47222222222222227,0.494579945799458,0.4722222222222222,eda
xgb,subject_robust,center,logreg,subject_z,0.8,1.2,1.4,0.478319783197832,0.5092592592592592,0.47831978319783197,0.5092592592592593,eda
xgb,subject_robust,center,logreg,subject_z,1.0,1.0,1.0,0.47899728997289975,0.4861111111111111,0.47899728997289975,0.4861111111111111,eda
xgb,subject_robust,center,logreg,subject_z,0.6,1.4,1.6,0.470189701897019,0.5023148148148148,0.470189701897019,0.5023148148148148,eda
xgb,subject_robust,center,logreg,subject_robust,0.8,1.2,1.4,0.46883468834688347,0.5162037037037037,0.46883468834688347,0.5162037037037037,eda
xgb,subject_robust,center,logreg,subject_robust,1.0,1.0,1.0,0.47222222222222215,0.4861111111111111,0.4722222222222222,0.4861111111111111,eda
xgb,subject_robust,center,logreg,subject_robust,0.6,1.4,1.6,0.48848238482384826,0.4884259259259259,0.48848238482384826,0.48842592592592593,eda
logreg,subject_z,none,xgb,subject_z,0.8,1.2,1.4,0.49525745257452575,0.4953703703703703,0.49525745257452575,0.49537037037037035,eda
logreg,subject_z,none,xgb,subject_z,1.0,1.0,1.0,0.49796747967479676,0.4976851851851852,0.49796747967479676,0.4976851851851852,eda
logreg,subject_z,none,xgb,subject_z,0.6,1.4,1.6,0.49254742547425473,0.49074074074074076,0.49254742547425473,0.49074074074074076,eda
logreg,subject_z,none,xgb,subject_robust,0.8,1.2,1.4,0.49322493224932246,0.5,0.4932249322493225,0.5,eda
logreg,subject_z,none,xgb,subject_robust,1.0,1.0,1.0,0.4925474254742548,0.5023148148148149,0.49254742547425473,0.5023148148148148,eda
logreg,subject_z,none,xgb,subject_robust,0.6,1.4,1.6,0.49796747967479676,0.5046296296296297,0.49796747967479676,0.5046296296296297,eda
logreg,subject_z,none,logreg,subject_z,0.8,1.2,1.4,0.49254742547425473,0.5162037037037037,0.49254742547425473,0.5162037037037037,eda
logreg,subject_z,none,logreg,subject_z,1.0,1.0,1.0,0.4850948509485094,0.5162037037037037,0.48509485094850946,0.5162037037037037,eda
logreg,subject_z,none,logreg,subject_z,0.6,1.4,1.6,0.49525745257452575,0.513888888888889,0.49525745257452575,0.5138888888888888,eda
logreg,subject_z,none,logreg,subject_robust,0.8,1.2,1.4,0.5074525745257453,0.5115740740740741,0.5074525745257452,0.5115740740740741,eda
logreg,subject_z,none,logreg,subject_robust,1.0,1.0,1.0,0.49322493224932246,0.5115740740740741,0.4932249322493225,0.5115740740740741,eda
logreg,subject_z,none,logreg,subject_robust,0.6,1.4,1.6,0.4993224932249323,0.5185185185185186,0.4993224932249323,0.5185185185185185,eda
logreg,subject_z,center,xgb,subject_z,0.8,1.2,1.4,0.4796747967479675,0.48148148148148145,0.4796747967479675,0.48148148148148145,eda
logreg,subject_z,center,xgb,subject_z,1.0,1.0,1.0,0.49796747967479676,0.4791666666666667,0.49796747967479676,0.4791666666666667,eda
logreg,subject_z,center,xgb,subject_z,0.6,1.4,1.6,0.4911924119241193,0.49074074074074076,0.4911924119241192,0.49074074074074076,eda
logreg,subject_z,center,xgb,subject_robust,0.8,1.2,1.4,0.4898373983739837,0.4837962962962963,0.4898373983739837,0.4837962962962963,eda
logreg,subject_z,center,xgb,subject_robust,1.0,1.0,1.0,0.5,0.488425925925926,0.5,0.48842592592592593,eda
logreg,subject_z,center,xgb,subject_robust,0.6,1.4,1.6,0.49322493224932246,0.4861111111111111,0.4932249322493225,0.4861111111111111,eda
logreg,subject_z,center,logreg,subject_z,0.8,1.2,1.4,0.49457994579945797,0.4976851851851851,0.494579945799458,0.4976851851851852,eda
logreg,subject_z,center,logreg,subject_z,1.0,1.0,1.0,0.47560975609756095,0.5092592592592593,0.47560975609756095,0.5092592592592593,eda
logreg,subject_z,center,logreg,subject_z,0.6,1.4,1.6,0.489159891598916,0.5046296296296297,0.489159891598916,0.5046296296296297,eda
logreg,subject_z,center,logreg,subject_robust,0.8,1.2,1.4,0.4939024390243902,0.5277777777777778,0.49390243902439024,0.5277777777777778,eda
logreg,subject_z,center,logreg,subject_robust,1.0,1.0,1.0,0.4878048780487805,0.4768518518518518,0.4878048780487805,0.47685185185185186,eda
logreg,subject_z,center,logreg,subject_robust,0.6,1.4,1.6,0.49525745257452575,0.5138888888888888,0.49525745257452575,0.5138888888888888,eda
logreg,subject_robust,none,xgb,subject_z,0.8,1.2,1.4,0.4850948509485095,0.5,0.48509485094850946,0.5,eda
logreg,subject_robust,none,xgb,subject_z,1.0,1.0,1.0,0.486449864498645,0.49074074074074076,0.48644986449864497,0.49074074074074076,eda
logreg,subject_robust,none,xgb,subject_z,0.6,1.4,1.6,0.4823848238482385,0.48148148148148145,0.4823848238482385,0.48148148148148145,eda
logreg,subject_robust,none,xgb,subject_robust,0.8,1.2,1.4,0.49322493224932246,0.488425925925926,0.4932249322493225,0.48842592592592593,eda
logreg,subject_robust,none,xgb,subject_robust,1.0,1.0,1.0,0.4850948509485095,0.48611111111111116,0.48509485094850946,0.4861111111111111,eda
logreg,subject_robust,none,xgb,subject_robust,0.6,1.4,1.6,0.49051490514905144,0.47685185185185186,0.4905149051490515,0.47685185185185186,eda
logreg,subject_robust,none,logreg,subject_z,0.8,1.2,1.4,0.48170731707317077,0.5046296296296297,0.4817073170731707,0.5046296296296297,eda
logreg,subject_robust,none,logreg,subject_z,1.0,1.0,1.0,0.4817073170731707,0.5046296296296297,0.4817073170731707,0.5046296296296297,eda
logreg,subject_robust,none,logreg,subject_z,0.6,1.4,1.6,0.48035230352303526,0.5046296296296297,0.4803523035230352,0.5046296296296297,eda
logreg,subject_robust,none,logreg,subject_robust,0.8,1.2,1.4,0.4911924119241193,0.4884259259259259,0.4911924119241192,0.48842592592592593,eda
logreg,subject_robust,none,logreg,subject_robust,1.0,1.0,1.0,0.4796747967479675,0.48148148148148145,0.4796747967479675,0.48148148148148145,eda
logreg,subject_robust,none,logreg,subject_robust,0.6,1.4,1.6,0.49051490514905155,0.5046296296296297,0.4905149051490515,0.5046296296296297,eda
logreg,subject_robust,center,xgb,subject_z,0.8,1.2,1.4,0.486449864498645,0.4884259259259259,0.48644986449864497,0.48842592592592593,eda
logreg,subject_robust,center,xgb,subject_z,1.0,1.0,1.0,0.4823848238482385,0.4791666666666667,0.4823848238482385,0.4791666666666667,eda
logreg,subject_robust,center,xgb,subject_z,0.6,1.4,1.6,0.47696476964769646,0.4791666666666667,0.47696476964769646,0.4791666666666667,eda
logreg,subject_robust,center,xgb,subject_robust,0.8,1.2,1.4,0.49254742547425473,0.4837962962962963,0.49254742547425473,0.4837962962962963,eda
logreg,subject_robust,center,xgb,subject_robust,1.0,1.0,1.0,0.49051490514905144,0.47453703703703703,0.4905149051490515,0.47453703703703703,eda
logreg,subject_robust,center,xgb,subject_robust,0.6,1.4,1.6,0.49254742547425473,0.46990740740740744,0.49254742547425473,0.4699074074074074,eda
logreg,subject_robust,center,logreg,subject_z,0.8,1.2,1.4,0.481029810298103,0.4884259259259259,0.481029810298103,0.48842592592592593,eda
logreg,subject_robust,center,logreg,subject_z,1.0,1.0,1.0,0.46680216802168023,0.4953703703703704,0.46680216802168023,0.49537037037037035,eda
logreg,subject_robust,center,logreg,subject_z,0.6,1.4,1.6,0.481029810298103,0.48148148148148157,0.481029810298103,0.48148148148148145,eda
logreg,subject_robust,center,logreg,subject_robust,0.8,1.2,1.4,0.4654471544715448,0.5069444444444444,0.4654471544715447,0.5069444444444444,eda
logreg,subject_robust,center,logreg,subject_robust,1.0,1.0,1.0,0.47628726287262874,0.47453703703703703,0.47628726287262874,0.47453703703703703,eda
